,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,f_3,f_4,f_5,f_6,desired_f_1,desired_f_2,desired_f_3,desired_f_4,desired_f_5,desired_f_6
167,8.35,-0.014536142349243164,0.11346101760864258,1.515479326248169,0.041083335876464844,-1.6898643970489502,-0.0508270263671875,0.7408826351165771,0.14581845700740814,0.5919861197471619,-3.0353103374876933,0.11337139485074293,1.6190945693346317,174.97018348623854,163.8394495412844,152.4560669456067,138.92887029288704,126.24843423799582,163.15031315240083,149.5,167.5,126.5,143.5,100.5,167.5
168,8.4,-0.014719724655151367,0.11387157440185547,1.51505446434021,0.041460514068603516,-1.6902005672454834,-0.05099630355834961,0.7411183714866638,0.14564397931098938,0.5919355154037476,-3.0349054720382678,0.11366455336770712,1.6191578637968191,174.82045454545454,163.8181818181818,152.4246861924686,138.96443514644352,126.15176715176715,163.12889812889813,149.5,167.5,126.5,143.5,100.5,167.5
169,8.450000000000001,-0.014929771423339844,0.11423182487487793,1.5146820545196533,0.04179954528808594,-1.690507173538208,-0.05114626884460449,0.7413308620452881,0.14545336365699768,0.5918902158737183,-3.034540855374468,0.1139320530216951,1.6191676616691273,174.68778280542986,163.8891402714932,152.25469728601252,139.04801670146136,126.09128630705395,163.1721991701245,149.5,167.5,126.5,143.5,100.5,167.5
170,8.5,-0.015114784240722656,0.11463356018066406,1.5143415927886963,0.04209542274475098,-1.6908390522003174,-0.051290273666381836,0.7415593862533569,0.1452786922454834,0.5917969942092896,-3.034144281890135,0.11422359375653324,1.6192031875145287,174.59318181818182,163.90454545454546,152.1058091286307,138.97717842323652,125.94845360824742,163.11546391752577,149.5,167.5,126.5,143.5,100.5,167.5
171,8.55,-0.015281438827514648,0.11507582664489746,1.5139496326446533,0.04243326187133789,-1.6911852359771729,-0.051416873931884766,0.7418071627616882,0.1451158970594406,0.5917038321495056,-3.033716946104354,0.11452904240755282,1.6192455833965975,174.47045454545454,163.8909090909091,152.03742203742203,138.97089397089397,125.84472049689441,163.12215320910974,149.5,167.5,126.5,143.5,100.5,167.5
172,8.6,-0.015470027923583984,0.11549973487854004,1.5135562419891357,0.04277825355529785,-1.6915075778961182,-0.05156230926513672,0.7420485615730286,0.14493893086910248,0.5916250348091125,-3.0333017010930594,0.11480959136466638,1.6192807474510347,174.3173515981735,163.8881278538813,151.83783783783784,138.97505197505197,125.75,163.11776859504133,149.5,167.5,126.5,143.5,100.5,167.5
173,8.65,-0.01563882827758789,0.11596441268920898,1.5131776332855225,0.04309654235839844,-1.691849946975708,-0.05172228813171387,0.742307186126709,0.1447744071483612,0.5915084481239319,-3.0328550146616027,0.1151064289407995,1.6193553270556058,174.19589977220957,163.86560364464694,151.75991649269312,138.9248434237996,125.60662525879917,163.09730848861284,149.5,167.5,126.5,143.5,100.5,167.5
174,8.700000000000001,-0.01582956314086914,0.11641311645507812,1.5127689838409424,0.04345083236694336,-1.692167043685913,-0.0518951416015625,0.742561399936676,0.144595667719841,0.59142005443573,-3.0324182116724447,0.11537707637155187,1.6194180950982486,174.10755148741418,163.83295194508008,151.6346555323591,138.93319415448852,125.40833333333333,163.14583333333334,149.5,167.5,126.5,143.5,100.5,167.5
175,8.75,-0.016021728515625,0.11681413650512695,1.5123541355133057,0.04382133483886719,-1.6924774646759033,-0.0520632266998291,0.7427926063537598,0.14441700279712677,0.5913697481155396,-3.032020599761416,0.11564390425574003,1.619469422107966,174.01822323462414,163.78587699316628,151.53125,138.98333333333332,125.29045643153528,163.1597510373444,149.5,167.5,126.5,143.5,100.5,167.5
176,8.8,-0.016202926635742188,0.11716914176940918,1.5119998455047607,0.04413938522338867,-1.6927950382232666,-0.0522003173828125,0.7429978251457214,0.14424645900726318,0.591317892074585,-3.0316641028386595,0.11592316313140118,1.6194972841989872,173.87927107061503,163.78359908883826,151.4560669456067,138.92887029288704,125.22594142259415,163.13807531380752,149.5,167.5,126.5,143.5,100.5,167.5
